Name,Address,City,State,ZIP,Type
American Express National Bank,4315 S 2700 W,Salt Lake City,UT,84184,Credit Card
Bank of America - Credit Cards,PO Box 982238,El Paso,TX,79998,Credit Card
Bank of America - Mortgage,7105 Corporate Dr,Plano,TX,75024,Mortgage
Bank of America - Auto,PO Box 15019,Wilmington,DE,19886,Auto Loan
Barclays Bank Delaware,125 S West St,Wilmington,DE,19801,Credit Card
Capital One Bank - Credit Cards,PO Box 30281,Salt Lake City,UT,84130,Credit Card
Capital One Auto Finance,7933 Preston Rd,Plano,TX,75024,Auto Loan
Chase Bank - Credit Cards,PO Box 15298,Wilmington,DE,19850,Credit Card
Chase Bank - Mortgage,3415 Vision Dr,Columbus,OH,43219,Mortgage
Chase Bank - Auto,PO Box 901003,Fort Worth,TX,76101,Auto Loan
Citibank - Credit Cards,PO Box 6241,Sioux Falls,SD,57117,Credit Card
Citibank - Mortgage,PO Box 79022,Phoenix,AZ,85062,Mortgage
Discover Bank,PO Box 71084,Charlotte,NC,28272,Credit Card
Goldman Sachs Bank (Apple Card),Lockbox 6112 PO Box 7247,Philadelphia,PA,19170,Credit Card
Synchrony Bank,PO Box 960061,Orlando,FL,32896,Credit Card
Synchrony Financial,PO Box 960013,Orlando,FL,32896,Credit Card
Target Credit Services (TD Bank),PO Box 660170,Dallas,TX,75266,Credit Card
Wells Fargo Bank - Credit Cards,PO Box 14517,Des Moines,IA,50306,Credit Card
Wells Fargo Home Mortgage,PO Box 10335,Des Moines,IA,50306,Mortgage
Wells Fargo Auto,PO Box 29704,Phoenix,AZ,85038,Auto Loan
US Bank - Credit Cards,PO Box 6335,Fargo,ND,58125,Credit Card
US Bank - Mortgage,4801 Frederica St,Owensboro,KY,42301,Mortgage
US Bank - Auto,PO Box 790117,St Louis,MO,63179,Auto Loan
Navy Federal Credit Union,PO Box 3700,Merrifield,VA,22119,Credit Union
Navy Federal Credit Union - Mortgage,820 Follin Ln SE,Vienna,VA,22180,Mortgage
Pentagon Federal Credit Union (PenFed),PO Box 247050,Omaha,NE,68124,Credit Union
USAA Federal Savings Bank,10750 McDermott Fwy,San Antonio,TX,78288,Credit Union
Ally Bank - Auto Finance,PO Box 380902,Bloomington,MN,55438,Auto Loan
Ally Bank - Mortgage,200 Renaissance Center,Detroit,MI,48265,Mortgage
TD Auto Finance,PO Box 9223,Farmington Hills,MI,48333,Auto Loan
Toyota Motor Credit Corp (TFS),19001 S Western Ave,Torrance,CA,90501,Auto Loan
Honda Financial Services,700 Van Anten St,Torrance,CA,90501,Auto Loan
Ford Motor Credit,PO Box 6275,Dearborn,MI,48121,Auto Loan
GM Financial,PO Box 183853,Arlington,TX,76096,Auto Loan
Hyundai Motor Finance,PO Box 20835,Fountain Valley,CA,92728,Auto Loan
Kia Motors Finance,PO Box 660891,Dallas,TX,75266,Auto Loan
Santander Consumer USA,PO Box 660633,Dallas,TX,75266,Auto Loan
Westlake Financial Partners,4751 Wilshire Blvd Ste 100,Los Angeles,CA,90010,Auto Loan
DriveTime Automotive,4020 E Indian School Rd,Phoenix,AZ,85018,Auto Loan
AmeriCredit Financial Services,PO Box 183853,Arlington,TX,76096,Auto Loan
Flagship Credit Acceptance,PO Box 965,Chadds Ford,PA,19317,Auto Loan
JP Morgan Chase Bank,PO Box 15369,Wilmington,DE,19850,Bank
Truist Bank,PO Box 3069,Wilson,NC,27895,Bank
Regions Bank,PO Box 2628,Decatur,AL,35602,Bank
Fifth Third Bank,5050 Kingsley Dr,Cincinnati,OH,45263,Bank
KeyBank,PO Box 94550,Cleveland,OH,44101,Bank
Huntington National Bank,PO Box 182703,Columbus,OH,43218,Bank
Citizens Bank,1 Citizens Plaza,Providence,RI,02903,Bank
Banner Bank,PO Box 2936,Walla Walla,WA,99362,Bank
Washington Federal (WaFd),425 Pike St,Seattle,WA,98101,Bank
Columbia Banking System,PO Box 2156,Tacoma,WA,98401,Bank
Banner Bank - Mortgage,PO Box 2936,Walla Walla,WA,99362,Mortgage
Sound Credit Union,PO Box 1647,Tacoma,WA,98401,Credit Union
GESA Credit Union,12011 Canyon Rd E,Puyallup,WA,98373,Credit Union
Consolidated Community Credit Union,PO Box 3700,Portland,OR,97208,Credit Union
BECU (Boeing Employees CU),12770 Gateway Dr,Tukwila,WA,98168,Credit Union
Rocket Mortgage (Quicken Loans),1050 Woodward Ave,Detroit,MI,48226,Mortgage
United Wholesale Mortgage,585 S Blvd E,Pontiac,MI,48341,Mortgage
loanDepot,26642 Agoura Rd,Calabasas,CA,91302,Mortgage
Caliber Home Loans,1525 S Belt Line Rd,Coppell,TX,75019,Mortgage
Mr. Cooper (Nationstar Mortgage),8950 Cypress Waters Blvd,Coppell,TX,75019,Mortgage
PHH Mortgage,1661 Worthington Rd Ste 100,West Palm Beach,FL,33409,Mortgage
Ocwen Financial,1661 Worthington Rd Ste 100,West Palm Beach,FL,33409,Mortgage
Specialized Loan Servicing (SLS),8742 Lucent Blvd Ste 300,Highlands Ranch,CO,80129,Mortgage
Select Portfolio Servicing,3815 S W Temple,Salt Lake City,UT,84115,Mortgage
Carrington Mortgage Services,1600 S Douglass Rd,Anaheim,CA,92806,Mortgage
LoanCare LLC,3637 Sentara Way,Virginia Beach,VA,23452,Mortgage
Freedom Mortgage,951 Yamato Rd Ste 175,Boca Raton,FL,33431,Mortgage
Flagstar Bank - Mortgage,5151 Corporate Dr,Troy,MI,48098,Mortgage
NewRez LLC (New Penn Financial),150 Allegheny Center Mall,Pittsburgh,PA,15212,Mortgage
Finance of America Mortgage,3 Executive Campus Ste 520,Cherry Hill,NJ,08002,Mortgage
Navient Solutions,PO Box 9640,Wilkes-Barre,PA,18773,Student Loan
Sallie Mae,PO Box 9530,Wilkes-Barre,PA,18773,Student Loan
Nelnet,PO Box 82561,Lincoln,NE,68501,Student Loan
MOHELA,633 Spirit Dr,Chesterfield,MO,63005,Student Loan
PHEAA / FedLoan Servicing,PO Box 69184,Harrisburg,PA,17106,Student Loan
EDFINANCIAL Services,120 N Seven Oaks Dr,Knoxville,TN,37922,Student Loan
Great Lakes Educational Loan Services,PO Box 7860,Madison,WI,53707,Student Loan
HESC / Firstmark Services,PO Box 2977,Omaha,NE,68103,Student Loan
PSLF / US Dept of Education,PO Box 65059,St Paul,MN,55165,Student Loan
CommonBond,55 W 46th St,New York,NY,10036,Student Loan
Earnest (SoFi),246 1st St Ste 200,San Francisco,CA,94105,Student Loan
SoFi,234 1st St,San Francisco,CA,94105,Student Loan
Internal Revenue Service,PO Box 7346,Philadelphia,PA,19101,Tax Authority
Washington State Department of Revenue,PO Box 47464,Olympia,WA,98504,Tax Authority
Oregon Department of Revenue,PO Box 14735,Salem,OR,97309,Tax Authority
California Franchise Tax Board,PO Box 942840,Sacramento,CA,94240,Tax Authority
Texas Comptroller of Public Accounts,PO Box 13528,Austin,TX,78711,Tax Authority
Florida Department of Revenue,5050 W Tennessee St,Tallahassee,FL,32399,Tax Authority
Portfolio Recovery Associates,120 Corporate Blvd,Norfolk,VA,23502,Collections
Midland Credit Management,8875 Aero Dr Ste 200,San Diego,CA,92123,Collections
Encore Capital Group,8875 Aero Dr Ste 200,San Diego,CA,92123,Collections
LVNV Funding LLC (Resurgent Capital),PO Box 10497,Greenville,SC,29603,Collections
Asset Acceptance Capital Corp,PO Box 1630,Warren,MI,48090,Collections
Cavalry Portfolio Services,500 Summit Lake Dr Ste 400,Valhalla,NY,10595,Collections
Unifin Inc,PO Box 1007,Longview,TX,75606,Collections
Convergent Outsourcing,800 SW 39th St,Renton,WA,98057,Collections
Credit Corp Solutions,180 S 300 W Ste 200,Salt Lake City,UT,84101,Collections
Jefferson Capital Systems,16 McLeland Rd,Saint Cloud,MN,56303,Collections
Radius Global Solutions,7831 Glenroy Rd,Minneapolis,MN,55439,Collections
CURO Financial Technologies (Speedy Cash),3527 N Ridge Rd,Wichita,KS,67205,Payday Loan
Advance America,135 N Church St,Spartanburg,SC,29306,Payday Loan
CheckSmart Financial,7001 Post Rd Ste 200,Dublin,OH,43016,Payday Loan
Ace Cash Express,1231 Greenway Dr Ste 600,Irving,TX,75038,Payday Loan
World Acceptance Corporation,108 Frederick St,Greenville,SC,29607,Personal Finance
OneMain Financial,601 NW 2nd St,Evansville,IN,47708,Personal Finance
Mariner Finance,8211 Town Center Dr,Nottingham,MD,21236,Personal Finance
Springleaf Financial (OneMain),601 NW 2nd St,Evansville,IN,47708,Personal Finance
Titlemax,15 Bull St Ste 200,Savannah,GA,31401,Title Loan
TitleBucks,15 Bull St Ste 200,Savannah,GA,31401,Title Loan
InstaLoan,15 Bull St Ste 200,Savannah,GA,31401,Title Loan
LoanMart,4 Hutton Centre Dr Ste 500,Santa Ana,CA,92707,Title Loan
DT Acceptance Corp (DriveTime),4020 E Indian School Rd,Phoenix,AZ,85018,Auto Loan
Westlake Services,4751 Wilshire Blvd Ste 100,Los Angeles,CA,90010,Auto Loan
Exeter Finance,222 W Las Colinas Blvd Ste 1200,Irving,TX,75039,Auto Loan
United Auto Credit,PO Box 9658,Newport Beach,CA,92658,Auto Loan
Global Lending Services,PO Box 1631,Greenville,SC,29602,Auto Loan
Credit Acceptance Corporation,25505 W 12 Mile Rd,Southfield,MI,48034,Auto Loan
CarMax Auto Finance,PO Box 440609,Kennesaw,GA,30160,Auto Loan
Carvana LLC,1930 W Rio Salado Pkwy,Tempe,AZ,85281,Auto Loan
Vroom Financial Services,3600 W Sam Houston Pkwy S,Houston,TX,77042,Auto Loan
Volkswagen Credit,3800 Hamlin Rd,Auburn Hills,MI,48326,Auto Loan
BMW Financial Services,5550 Britton Pkwy,Hilliard,OH,43026,Auto Loan
Mercedes-Benz Financial Services,36455 Corporate Dr,Farmington Hills,MI,48331,Auto Loan
Chrysler Capital (Stellantis Financial),PO Box 660647,Dallas,TX,75266,Auto Loan
Subaru Motors Finance,1 Subaru Dr,Camden,NJ,08103,Auto Loan
Nissan Motor Acceptance Corp,PO Box 660360,Dallas,TX,75266,Auto Loan
Mazda Financial Services,1 Mazda Dr,Irving,CA,92618,Auto Loan
Acura Financial Services,1919 Torrance Blvd,Torrance,CA,90501,Auto Loan
Lexus Financial Services,19001 S Western Ave,Torrance,CA,90501,Auto Loan
Hertz Vehicle Financing,PO Box 26103,Oklahoma City,OK,73126,Auto Loan
DealerSocket (Asbury Automotive),PO Box 550,Duluth,GA,30096,Auto Loan
Fingerhut (Bluestem Financial),6250 Ridgewood Rd,Saint Cloud,MN,56303,Retail Credit
Best Buy Credit Card (Citibank),PO Box 9001007,Louisville,KY,40290,Retail Credit
Home Depot Credit Card (Citibank),PO Box 9001010,Louisville,KY,40290,Retail Credit
Lowe's Credit Card (Synchrony),PO Box 530914,Atlanta,GA,30353,Retail Credit
Amazon Store Card (Synchrony),PO Box 960013,Orlando,FL,32896,Retail Credit
Walmart Credit Card (Capital One),PO Box 30253,Salt Lake City,UT,84130,Retail Credit
Kohl's Credit Card (Capital One),PO Box 30284,Salt Lake City,UT,84130,Retail Credit
JCPenney Credit Card (Synchrony),PO Box 960090,Orlando,FL,32896,Retail Credit
Macy's Credit Card (Citibank),PO Box 183083,Columbus,OH,43218,Retail Credit
TJX Rewards Card (Synchrony),PO Box 530948,Atlanta,GA,30353,Retail Credit
CareCredit (Synchrony Health),PO Box 960061,Orlando,FL,32896,Medical Credit
Alphaeon Credit (Comenity),PO Box 182120,Columbus,OH,43218,Medical Credit
Comenity Bank,PO Box 182789,Columbus,OH,43218,Credit Card
Comenity Capital Bank,PO Box 182120,Columbus,OH,43218,Credit Card
Bread Financial (Alliance Data),PO Box 182789,Columbus,OH,43218,Credit Card
Mission Lane LLC,PO Box 105286,Atlanta,GA,30348,Credit Card
Avant LLC,222 N LaSalle St Ste 1700,Chicago,IL,60601,Personal Finance
LendingClub Bank,595 Market St Ste 200,San Francisco,CA,94105,Personal Finance
Prosper Funding LLC,221 Main St Ste 300,San Francisco,CA,94105,Personal Finance
Upstart Network,2950 S Delaware St Ste 300,San Mateo,CA,94403,Personal Finance
Marcus by Goldman Sachs,200 West St,New York,NY,10282,Personal Finance
Lightstream (SunTrust),PO Box 85570,Richmond,VA,23285,Personal Finance
Upgrade Inc,275 Battery St Ste 2300,San Francisco,CA,94111,Personal Finance
Best Egg (Marlette Holdings),3 Mill Rd Ste 102,Wilmington,DE,19806,Personal Finance
Happy Money (Payoff),3200 Park Center Dr Ste 800,Costa Mesa,CA,92626,Personal Finance
Affirm Inc,650 California St,San Francisco,CA,94108,Buy Now Pay Later
Klarna Inc,629 N High St Ste 300,Columbus,OH,43215,Buy Now Pay Later
AfterPay US,222 Kearny St Ste 800,San Francisco,CA,94108,Buy Now Pay Later
Sezzle Inc,251 1st Ave N Ste 200,Minneapolis,MN,55401,Buy Now Pay Later
Zip Co (Quadpay),33 West 17th St,New York,NY,10011,Buy Now Pay Later
Rent-A-Center,5501 Headquarters Dr,Plano,TX,75024,Rent-To-Own
Aaron's LLC,400 Galleria Pkwy SE Ste 300,Atlanta,GA,30339,Rent-To-Own
Progressive Leasing,256 W Data Dr,Draper,UT,84020,Rent-To-Own
Acima Credit,9815 S Monroe St Ste 100,Sandy,UT,84070,Rent-To-Own
FlexShopper,2700 N Military Trail Ste 200,Boca Raton,FL,33431,Rent-To-Own
